Speaker: Simeón
  Tier Type: po, Annotations Count: 680
    Time Stamp: ("'ts483'", "'ts485'"), Annotation: shina nirkachu
    Time Stamp: ("'ts493'", "'ts494'"), Annotation: cierto
    Time Stamp: ("'ts499'", "'ts500'"), Annotation: cierto
    Time Stamp: ("'ts511'", "'ts512'"), Annotation: ari, ari
    Time Stamp: ("'ts513'", "'ts514'"), Annotation: (asin)
    Time Stamp: ("'ts517'", "'ts520'"), Annotation: shimi charishka
    Time Stamp: ("'ts533'", "'ts535'"), Annotation: ari
    Time Stamp: ("'ts619'", "'ts620'"), Annotation: ha ja
    Time Stamp: ("'ts623'", "'ts624'"), Annotation: ari
    Time Stamp: ("'ts628'", "'ts630'"), Annotation: y chaypi
    Time Stamp: ("'ts631'", "'ts632'"), Annotation: culebra illashka
    Time Stamp: ("'ts635'", "'ts636'"), Annotation: cierrto mi
    Time Stamp: ("'ts637'", "'ts638'"), Annotation: canga
    Time Stamp: ("'ts639'", "'ts640'"), Annotation: haaaa
    Time Stamp: ("'ts657'", "'ts658'"), Annotation: mmmmm
    Time Stamp: ("'ts661'", "'ts663'"), Annotation: ha ya ya
    Time Stamp: ("'ts669'", "'ts670'"), Annotation: gentekunata
    Time Stamp: ("'ts671'", "'ts672'"), Annotation: shina
    Time Stamp: ("'ts673'", "'ts674'"), Annotation: molestanllu
    Time Stamp: ("'ts677'", "'ts678'"), Annotation: na
    Time Stamp: ("'ts680'", "'ts682'"), Annotation: yaya
    Time Stamp: ("'ts693'", "'ts694'"), Annotation: ari
    Time Stamp: ("'ts695'", "'ts696'"), Annotation: sumag
    Time Stamp: ("'ts697'", "'ts698'"), Annotation: y kay guayku
    Time Stamp: ("'ts699'", "'ts700'"), Annotation: jatun huayku tian
    Time Stamp: ("'ts701'", "'ts703'"), Annotation: nachu
    Time Stamp: ("'ts704'", "'ts705'"), Annotation: jatun, jatun
    Time Stamp: ("'ts735'", "'ts736'"), Annotation: ari
    Time Stamp: ("'ts737'", "'ts739'"), Annotation: chaypi
    Time Stamp: ("'ts743'", "'ts744'"), Annotation: yakukaman
    Time Stamp: ("'ts745'", "'ts749'"), Annotation: yakumanllu
    Time Stamp: ("'ts750'", "'ts753'"), Annotation: uku uku
    Time Stamp: ("'ts757'", "'ts758'"), Annotation: ña
    Time Stamp: ("'ts760'", "'ts762'"), Annotation: ima
    Time Stamp: ("'ts763'", "'ts764'"), Annotation: shutita charinchu chay guayku
    Time Stamp: ("'ts769'", "'ts771'"), Annotation: cundur guachi
    Time Stamp: ("'ts775'", "'ts776'"), Annotation: ari
    Time Stamp: ("'ts777'", "'ts778'"), Annotation: yakuka ukupi
    Time Stamp: ("'ts787'", "'ts788'"), Annotation: ima shuti yaku
    Time Stamp: ("'ts789'", "'ts790'"), Annotation: igual
    Time Stamp: ("'ts791'", "'ts792'"), Annotation: condor
    Time Stamp: ("'ts814'", "'ts816'"), Annotation: cierrto
    Time Stamp: ("'ts817'", "'ts818'"), Annotation: chay
    Time Stamp: ("'ts819'", "'ts820'"), Annotation: Yurag urku
    Time Stamp: ("'ts821'", "'ts825'"), Annotation: imashinaningichi
    Time Stamp: ("'ts829'", "'ts830'"), Annotation: kay
    Time Stamp: ("'ts831'", "'ts832'"), Annotation: Cayambe urku
    Time Stamp: ("'ts833'", "'ts835'"), Annotation: ningi
    Time Stamp: ("'ts859'", "'ts860'"), Annotation: mm
    Time Stamp: ("'ts861'", "'ts862'"), Annotation: ari
    Time Stamp: ("'ts863'", "'ts864'"), Annotation: shi shi nachu kanga
    Time Stamp: ("'ts868'", "'ts871'"), Annotation: ha ja
    Time Stamp: ("'ts876'", "'ts878'"), Annotation: ari
    Time Stamp: ("'ts879'", "'ts880'"), Annotation: chayyyyy
    Time Stamp: ("'ts881'", "'ts883'"), Annotation: tal vez
    Time Stamp: ("'ts884'", "'ts886'"), Annotation: chayman
    Time Stamp: ("'ts887'", "'ts888'"), Annotation: rrishfa
    Time Stamp: ("'ts889'", "'ts890'"), Annotation: rrishf
    Time Stamp: ("'ts895'", "'ts896'"), Annotation: ari
    Time Stamp: ("'ts905'", "'ts906'"), Annotation: mmm
    Time Stamp: ("'ts907'", "'ts911'"), Annotation: ari, arima
    Time Stamp: ("'ts931'", "'ts932'"), Annotation: cierto
    Time Stamp: ("'ts933'", "'ts934'"), Annotation: ima tukurka
    Time Stamp: ("'ts935'", "'ts936'"), Annotation: ginti
    Time Stamp: ("'ts950'", "'ts952'"), Annotation: guayku ukupi tian
    Time Stamp: ("'ts955'", "'ts956'"), Annotation: pero ima shina
    Time Stamp: ("'ts957'", "'ts958'"), Annotation: urmashpa
    Time Stamp: ("'ts959'", "'ts960'"), Annotation: o
    Time Stamp: ("'ts961'", "'ts962'"), Annotation: guañuchishpa
    Time Stamp: ("'ts963'", "'ts964'"), Annotation: ima shina
    Time Stamp: ("'ts967'", "'ts968'"), Annotation: ha ja
    Time Stamp: ("'ts969'", "'ts971'"), Annotation: shina pandashpa urmarka
    Time Stamp: ("'ts979'", "'ts980'"), Annotation: guañurkachu
    Time Stamp: ("'ts989'", "'ts990'"), Annotation: pero autupi
    Time Stamp: ("'ts991'", "'ts992'"), Annotation: sarurka ohhh
    Time Stamp: ("'ts997'", "'ts998'"), Annotation: haaaaaa
    Time Stamp: ("'ts1005'", "'ts1006'"), Annotation: cierto
    Time Stamp: ("'ts1035'", "'ts1036'"), Annotation: ari
    Time Stamp: ("'ts1037'", "'ts1038'"), Annotation: achika trabajangi
    Time Stamp: ("'ts1039'", "'ts1041'"), Annotation: nachu
    Time Stamp: ("'ts1042'", "'ts1044'"), Annotation: siempre trabajashkangi shina
    Time Stamp: ("'ts1045'", "'ts1046'"), Annotation: chay
    Time Stamp: ("'ts1047'", "'ts1048'"), Annotation: animalkunaguan michishpa
    Time Stamp: ("'ts1053'", "'ts1054'"), Annotation: guaguakashpaka
    Time Stamp: ("'ts1070'", "'ts1072'"), Annotation: cierto
    Time Stamp: ("'ts1073'", "'ts1074'"), Annotation: Cochaskipi
    Time Stamp: ("'ts1075'", "'ts1076'"), Annotation: ima trabajopi
