Speaker: SIMEON A
  Tier Type: po, Annotations Count: 720
    Time Stamp: ("'ts1201'", "'ts1202'"), Annotation: yandauang
    Time Stamp: ("'ts1220'", "'ts1221'"), Annotation: aaa
    Time Stamp: ("'ts1223'", "'ts1225'"), Annotation: (,..................)
    Time Stamp: ("'ts1255'", "'ts1256'"), Annotation: mm j
    Time Stamp: ("'ts1275'", "'ts1276'"), Annotation: tamiapi
    Time Stamp: ("'ts1277'", "'ts1278'"), Annotation: shutuchi
    Time Stamp: ("'ts1295'", "'ts1296'"), Annotation: yyyy
    Time Stamp: ("'ts1297'", "'ts1298'"), Annotation: kay
    Time Stamp: ("'ts1299'", "'ts1300'"), Annotation: kay
    Time Stamp: ("'ts1301'", "'ts1302'"), Annotation: guaykukuna
    Time Stamp: ("'ts1303'", "'ts1304'"), Annotation: shutikunata
    Time Stamp: ("'ts1305'", "'ts1306'"), Annotation: charinchu
    Time Stamp: ("'ts1327'", "'ts1328'"), Annotation: Paliz
    Time Stamp: ("'ts1329'", "'ts1331'"), Annotation: guayku
    Time Stamp: ("'ts1339'", "'ts1340'"), Annotation: kay
    Time Stamp: ("'ts1341'", "'ts1342'"), Annotation: chimba
    Time Stamp: ("'ts1355'", "'ts1356'"), Annotation: ari
    Time Stamp: ("'ts1372'", "'ts1373'"), Annotation: yyy
    Time Stamp: ("'ts1374'", "'ts1376'"), Annotation: jatunnnnnnn
    Time Stamp: ("'ts1377'", "'ts1378'"), Annotation: guaykuuuuu
    Time Stamp: ("'ts1379'", "'ts1380'"), Annotation: chay juashaman
    Time Stamp: ("'ts1485'", "'ts1486'"), Annotation: chayka
    Time Stamp: ("'ts1517'", "'ts1518'"), Annotation: ñaaa
    Time Stamp: ("'ts1527'", "'ts1528'"), Annotation: pero
    Time Stamp: ("'ts1529'", "'ts1530'"), Annotation: mayman
    Time Stamp: ("'ts1531'", "'ts1532'"), Annotation: na yapa
    Time Stamp: ("'ts1533'", "'ts1534'"), Annotation: urku
    Time Stamp: ("'ts1535'", "'ts1536'"), Annotation: ñuka
    Time Stamp: ("'ts1537'", "'ts1538'"), Annotation: mas
    Time Stamp: ("'ts1539'", "'ts1540'"), Annotation: shamurkani
    Time Stamp: ("'ts1541'", "'ts1542'"), Annotation: kaypi
    Time Stamp: ("'ts1543'", "'ts1544'"), Annotation: chakishka
    Time Stamp: ("'ts1545'", "'ts1546'"), Annotation: karka
    Time Stamp: ("'ts1547'", "'ts1548'"), Annotation: kunan
    Time Stamp: ("'ts1549'", "'ts1550'"), Annotation: ña
    Time Stamp: ("'ts1563'", "'ts1564'"), Annotation: kununsha
    Time Stamp: ("'ts1575'", "'ts1576'"), Annotation: ari
    Time Stamp: ("'ts1577'", "'ts1578'"), Annotation: (......................)
    Time Stamp: ("'ts1609'", "'ts1610'"), Annotation: puntaaaaaa
    Time Stamp: ("'ts1611'", "'ts1612'"), Annotation: eeeee
    Time Stamp: ("'ts1613'", "'ts1614'"), Annotation: gintikuna
    Time Stamp: ("'ts1615'", "'ts1616'"), Annotation: rrirka
    Time Stamp: ("'ts1617'", "'ts1618'"), Annotation: chayman
    Time Stamp: ("'ts1619'", "'ts1620'"), Annotation: chay
    Time Stamp: ("'ts1621'", "'ts1622'"), Annotation: chimba
    Time Stamp: ("'ts1623'", "'ts1624'"), Annotation: llagtakunaman
    Time Stamp: ("'ts1625'", "'ts1626'"), Annotation: Quinche
    Time Stamp: ("'ts1627'", "'ts1628'"), Annotation: Yaruqui
