Speaker: Mujer Joven
  Tier Type: po, Annotations Count: 195
    Time Stamp: ("'ts617'", "'ts619'"), Annotation: Ura candela fasupish
    Time Stamp: ("'ts635'", "'ts636'"), Annotation: kay urani waykilla rtiyan
    Time Stamp: ("'ts637'", "'ts638'"), Annotation: ah ñuka abuelaka ashpa lindi
    Time Stamp: ("'ts639'", "'ts641'"), Annotation: patukucham
    Time Stamp: ("'ts642'", "'ts644'"), Annotation: tukuylla wasi shina foto tomana kan o  yaku tomana
    Time Stamp: ("'ts645'", "'ts647'"), Annotation: chay ukumanda yaku shutijun
    Time Stamp: ("'ts668'", "'ts671'"), Annotation: na na tianchu nusi na riksinchichu
    Time Stamp: ("'ts672'", "'ts679'"), Annotation: kay kampo
    Time Stamp: ("'ts692'", "'ts694'"), Annotation: Ari ah
    Time Stamp: ("'ts719'", "'ts721'"), Annotation: Diabluchi tiancha
    Time Stamp: ("'ts722'", "'ts724'"), Annotation: shina china nin urkupi china
    Time Stamp: ("'ts725'", "'ts726'"), Annotation: tiyan cularawmi nishka tiyarka.
    Time Stamp: ("'ts727'", "'ts729'"), Annotation: (...)apashka nirka
    Time Stamp: ("'ts739'", "'ts740'"), Annotation: diablu apashka nin
    Time Stamp: ("'ts742'", "'ts744'"), Annotation: jatun chulu shamusha llamata kinchapash karuta tutayakta
    Time Stamp: ("'ts745'", "'ts746'"), Annotation: apasha rishka nin chay rumima.
    Time Stamp: ("'ts749'", "'ts752'"), Annotation: mayallakta ñukanchi chaypi kawsarkanchi manchasha uchila wawakuna kashpa
    Time Stamp: ("'ts753'", "'ts757'"), Annotation: uchila  uksha wasi
    Time Stamp: ("'ts758'", "'ts760'"), Annotation: Kunanga cuidashash kiwa chaypi lo
    Time Stamp: ("'ts761'", "'ts763'"), Annotation: llama wagra kuti(....)
    Time Stamp: ("'ts765'", "'ts767'"), Annotation: kunan unay na rini imalayashi kan
    Time Stamp: ("'ts769'", "'ts770'"), Annotation: Ñuka abuelapash ñna rin
    Time Stamp: ("'ts771'", "'ts773'"), Annotation: chaywarkuna chaypi karka
    Time Stamp: ("'ts781'", "'ts785'"), Annotation: pasu kunga nin
    Time Stamp: ("'ts806'", "'ts809'"), Annotation: na chayka chay urani ukuman karka
    Time Stamp: ("'ts810'", "'ts813'"), Annotation: Candela Faso
    Time Stamp: ("'ts816'", "'ts820'"), Annotation: (...)urkuwanmi
    Time Stamp: ("'ts844'", "'ts846'"), Annotation: Na yachanichu nin ñuka abuila
    Time Stamp: ("'ts847'", "'ts848'"), Annotation: ñuka difuntu abuilu yachankana.
    Time Stamp: ("'ts861'", "'ts867'"), Annotation: na yachani nin ñuka abuela na yachan
    Time Stamp: ("'ts873'", "'ts875'"), Annotation: kanchu tapusha ningui padrino
    Time Stamp: ("'ts877'", "'ts878'"), Annotation: Ñuka abuelata kanchu parlachisha ningui o ñuka parlasha
    Time Stamp: ("'ts880'", "'ts883'"), Annotation: ah ya parlashunlla
    Time Stamp: ("'ts889'", "'ts890'"), Annotation: kaypi ñuka abuela ashta kay escuelata
    Time Stamp: ("'ts891'", "'ts894'"), Annotation: ashpala kun
    Time Stamp: ("'ts895'", "'ts899'"), Annotation: ñukanchi allpami tiyan escuela
    Time Stamp: ("'ts901'", "'ts904'"), Annotation: ari, plazuelaka ñuka abuela ashpapi
    Time Stamp: ("'ts913'", "'ts916'"), Annotation: Ñuka abuelata na yachaktaka apasha
    Time Stamp: ("'ts917'", "'ts918'"), Annotation: paylla churachinakunata na litrataka ñuka abuelaka
    Time Stamp: ("'ts926'", "'ts928'"), Annotation: na shina chay nachu fundadur mulintimanda fundadur kanchi shina
    Time Stamp: ("'ts929'", "'ts931'"), Annotation: shina apashkalla
    Time Stamp: ("'ts962'", "'ts965'"), Annotation: ari shamuy kayman
    Time Stamp: ("'ts966'", "'ts968'"), Annotation: tiari
    Time Stamp: ("'ts977'", "'ts981'"), Annotation: ari
    Time Stamp: ("'ts983'", "'ts985'"), Annotation: nachu bancupi tiaringui
    Time Stamp: ("'ts990'", "'ts992'"), Annotation: na saludawan pay llukshisha
    Time Stamp: ("'ts993'", "'ts994'"), Annotation: chayka uka kan
    Time Stamp: ("'ts995'", "'ts1001'"), Annotation: allihuma
    Time Stamp: ("'ts1006'", "'ts1010'"), Annotation: kunan wataka uca granurkami
    Time Stamp: ("'ts1012'", "'ts1015'"), Annotation: sarun watapika tiyarka
    Time Stamp: ("'ts1068'", "'ts1071'"), Annotation: tarichinkuna
    Time Stamp: ("'ts1077'", "'ts1079'"), Annotation: kilpakpika wiñanlla kaypika
    Time Stamp: ("'ts1088'", "'ts1092'"), Annotation: noviembre ojala tamianga
    Time Stamp: ("'ts1097'", "'ts1100'"), Annotation: Noviembre
    Time Stamp: ("'ts1116'", "'ts1124'"), Annotation: ari wagrawakunapa illan jiwa
    Time Stamp: ("'ts1134'", "'ts1138'"), Annotation: llushtisha
    Time Stamp: ("'ts1160'", "'ts1164'"), Annotation: killu
    Time Stamp: ("'ts1168'", "'ts1170'"), Annotation: puca
    Time Stamp: ("'ts1177'", "'ts1181'"), Annotation: (...)kuti
    Time Stamp: ("'ts1187'", "'ts1188'"), Annotation: mariana charin puka ukata
    Time Stamp: ("'ts1190'", "'ts1193'"), Annotation: ari ashka
    Time Stamp: ("'ts1197'", "'ts1203'"), Annotation: Lo mismo kanata yachan (...)
    Time Stamp: ("'ts1218'", "'ts1223'"), Annotation: ari millukutash tarpunchillami
    Time Stamp: ("'ts1225'", "'ts1228'"), Annotation: Papas melloco oca
    Time Stamp: ("'ts1229'", "'ts1231'"), Annotation: cebada cebolla
    Time Stamp: ("'ts1239'", "'ts1241'"), Annotation: kunan kay wata amenurarijun cibulla
    Time Stamp: ("'ts1272'", "'ts1275'"), Annotation: ah ari
    Time Stamp: ("'ts1279'", "'ts1280'"), Annotation: (No se entiede)
    Time Stamp: ("'ts1285'", "'ts1288'"), Annotation: imashti Elsitama lolitama shina
    Time Stamp: ("'ts1291'", "'ts1292'"), Annotation: Zoilitama shina parlanajun kingushpa
