Speaker: Simeon
  Tier Type: po, Annotations Count: 310
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: kay puestoka imashuti
    Time Stamp: ("'ts13'", "'ts15'"), Annotation: imata nin
    Time Stamp: ("'ts31'", "'ts34'"), Annotation: cierto
    Time Stamp: ("'ts51'", "'ts53'"), Annotation: cierto, chay imaku ima urku
    Time Stamp: ("'ts60'", "'ts64'"), Annotation: kay Elisaua
    Time Stamp: ("'ts69'", "'ts70'"), Annotation: Quito
    Time Stamp: ("'ts81'", "'ts82'"), Annotation: pero Elinisa urkuchukan
    Time Stamp: ("'ts83'", "'ts84'"), Annotation: oh . Quito urku
    Time Stamp: ("'ts85'", "'ts88'"), Annotation: Pichinchachu kan
    Time Stamp: ("'ts97'", "'ts101'"), Annotation: kay Eliwisamanta Quito rirurin
    Time Stamp: ("'ts102'", "'ts104'"), Annotation: mana mana
    Time Stamp: ("'ts114'", "'ts116'"), Annotation: jagua wichiman
    Time Stamp: ("'ts118'", "'ts122'"), Annotation: chay richun chay rumijaguanma o na
    Time Stamp: ("'ts163'", "'ts164'"), Annotation: imashina chay
    Time Stamp: ("'ts165'", "'ts166'"), Annotation: tiempo cuentukuna nachu ashtaguan yachangichi
    Time Stamp: ("'ts167'", "'ts169'"), Annotation: peliashka
    Time Stamp: ("'ts207'", "'ts208'"), Annotation: mayjan
    Time Stamp: ("'ts209'", "'ts210'"), Annotation:  Co Cotopaxi oh
    Time Stamp: ("'ts213'", "'ts215'"), Annotation: aaahn
    Time Stamp: ("'ts305'", "'ts306'"), Annotation: mm
    Time Stamp: ("'ts394'", "'ts396'"), Annotation: mmm
    Time Stamp: ("'ts548'", "'ts550'"), Annotation: tukuyta
    Time Stamp: ("'ts561'", "'ts562'"), Annotation: mmmm
    Time Stamp: ("'ts563'", "'ts564'"), Annotation: (.........)
    Time Stamp: ("'ts567'", "'ts568'"), Annotation: imashuti nirkangi chayta
    Time Stamp: ("'ts577'", "'ts578'"), Annotation: (.................)
    Time Stamp: ("'ts583'", "'ts584'"), Annotation: ya
    Time Stamp: ("'ts590'", "'ts592'"), Annotation: rumi saltu
    Time Stamp: ("'ts600'", "'ts601'"), Annotation: None
    Time Stamp: ("'ts602'", "'ts607'"), Annotation: tal vez paseasunchi chay ñanda
    Time Stamp: ("'ts613'", "'ts616'"), Annotation: ah ya
    Time Stamp: ("'ts641'", "'ts646'"), Annotation: pero yucsi can shina
    Time Stamp: ("'ts995'", "'ts998'"), Annotation: imata rrurran kaypi chay
    Time Stamp: ("'ts1905'", "'ts1906'"), Annotation: ya ya
    Time Stamp: ("'ts1907'", "'ts1908'"), Annotation: ñuka ashalla parlachisha
    Time Stamp: ("'ts1909'", "'ts1910'"), Annotation: ñuka ashalla rikuni
    Time Stamp: ("'ts1911'", "'ts1912'"), Annotation: guaguakunata
    Time Stamp: ("'ts1915'", "'ts1916'"), Annotation: nachu chaparingi
    Time Stamp: ("'ts1922'", "'ts1924'"), Annotation: ya ya ñuka
    Time Stamp: ("'ts1925'", "'ts1926'"), Annotation: ya ya ñukapa
    Time Stamp: ("'ts1927'", "'ts1928'"), Annotation: (asin)
    Time Stamp: ("'ts1929'", "'ts1930'"), Annotation: parlasha
    Time Stamp: ("'ts1931'", "'ts1932'"), Annotation: guagua cuidachun
    Time Stamp: ("'ts1933'", "'ts1935'"), Annotation: (asin)
    Time Stamp: ("'ts1937'", "'ts1938'"), Annotation: mama mayman rishkatapunga
    Time Stamp: ("'ts1939'", "'ts1940'"), Annotation: kaypi kanchig
    Time Stamp: ("'ts1941'", "'ts1942'"), Annotation: kaypi kanchig
    Time Stamp: ("'ts1943'", "'ts1944'"), Annotation: hola
    Time Stamp: ("'ts1945'", "'ts1946'"), Annotation: mama ña rringa
    Time Stamp: ("'ts1947'", "'ts1951'"), Annotation: (asinakun)
    Time Stamp: ("'ts1955'", "'ts1956'"), Annotation: eso
    Time Stamp: ("'ts1957'", "'ts1958'"), Annotation: ñuka guaguapash shina puñunayachin carupi
    Time Stamp: ("'ts1961'", "'ts1962'"), Annotation: pero sna
    Time Stamp: ("'ts1963'", "'ts1964'"), Annotation: pero mana caruman rinchi
    Time Stamp: ("'ts1965'", "'ts1967'"), Annotation: siempre laduman rricushpa
    Time Stamp: ("'ts1971'", "'ts1972'"), Annotation: lobuchu can
    Time Stamp: ("'ts1975'", "'ts1978'"), Annotation: haaaa chuta
    Time Stamp: ("'ts1979'", "'ts1983'"), Annotation: ima loboka imashina can
    Time Stamp: ("'ts1985'", "'ts1986'"), Annotation: ciertu
    Time Stamp: ("'ts1988'", "'ts1991'"), Annotation: jatungunatapash
    Time Stamp: ("'ts1993'", "'ts1996'"), Annotation: millaymi kashka
    Time Stamp: ("'ts2003'", "'ts2006'"), Annotation: pero ima shina kan ashku
    Time Stamp: ("'ts2007'", "'ts2009'"), Annotation: jatun ashku shina
    Time Stamp: ("'ts2011'", "'ts2013'"), Annotation: ima porte ima
    Time Stamp: ("'ts2018'", "'ts2021'"), Annotation: haaa
    Time Stamp: ("'ts2027'", "'ts2028'"), Annotation: cierto
    Time Stamp: ("'ts2035'", "'ts2036'"), Annotation: haaaaaaa
    Time Stamp: ("'ts2037'", "'ts2038'"), Annotation: shug viaje ñuka tuparikani, Elinisa urkupi shugta
    Time Stamp: ("'ts2041'", "'ts2042'"), Annotation: pero chayka chay refugio nishka
