Speaker: Simeon
  Tier Type: po, Annotations Count: 1351
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: Bueno
    Time Stamp: ("'ts3'", "'ts4'"), Annotation: Buenos dias
    Time Stamp: ("'ts5'", "'ts6'"), Annotation: estamos aqui
    Time Stamp: ("'ts7'", "'ts8'"), Annotation: con el
    Time Stamp: ("'ts9'", "'ts10'"), Annotation: compañero
    Time Stamp: ("'ts11'", "'ts12'"), Annotation: Segundo Cumbal
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: en Pifo
    Time Stamp: ("'ts15'", "'ts16'"), Annotation: vamos a ver
    Time Stamp: ("'ts17'", "'ts18'"), Annotation: si
    Time Stamp: ("'ts19'", "'ts20'"), Annotation: acordamos un poco
    Time Stamp: ("'ts21'", "'ts22'"), Annotation: de
    Time Stamp: ("'ts23'", "'ts24'"), Annotation: como es
    Time Stamp: ("'ts25'", "'ts26'"), Annotation: el kichua de esta zona
    Time Stamp: ("'ts27'", "'ts28'"), Annotation: podemos, empezar
    Time Stamp: ("'ts29'", "'ts30'"), Annotation: vio
    Time Stamp: ("'ts31'", "'ts32'"), Annotation: que
    Time Stamp: ("'ts33'", "'ts34'"), Annotation: ese
    Time Stamp: ("'ts35'", "'ts36'"), Annotation: pero
    Time Stamp: ("'ts37'", "'ts38'"), Annotation: me queria morder
    Time Stamp: ("'ts39'", "'ts40'"), Annotation: mi
    Time Stamp: ("'ts41'", "'ts42'"), Annotation: mi pantalon
    Time Stamp: ("'ts43'", "'ts44'"), Annotation: (asin)
    Time Stamp: ("'ts45'", "'ts46'"), Annotation: entonces en kichua
    Time Stamp: ("'ts47'", "'ts48'"), Annotation: como le vamos a decir
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: que el pero
    Time Stamp: ("'ts51'", "'ts52'"), Annotation: que
    Time Stamp: ("'ts53'", "'ts54'"), Annotation: que
    Time Stamp: ("'ts55'", "'ts56'"), Annotation: vayate
    Time Stamp: ("'ts57'", "'ts58'"), Annotation: per
    Time Stamp: ("'ts59'", "'ts60'"), Annotation: que
    Time Stamp: ("'ts61'", "'ts62'"), Annotation: vayase
    Time Stamp: ("'ts63'", "'ts64'"), Annotation: que no venga
    Time Stamp: ("'ts67'", "'ts68'"), Annotation: como vamos a decir
    Time Stamp: ("'ts79'", "'ts80'"), Annotation: alku
    Time Stamp: ("'ts89'", "'ts91'"), Annotation: a ja
    Time Stamp: ("'ts93'", "'ts94'"), Annotation: aaaaaaa
    Time Stamp: ("'ts95'", "'ts96'"), Annotation: ja
    Time Stamp: ("'ts103'", "'ts104'"), Annotation: a ja
    Time Stamp: ("'ts115'", "'ts117'"), Annotation: (asin)
    Time Stamp: ("'ts121'", "'ts122'"), Annotation: llugshi
    Time Stamp: ("'ts127'", "'ts128'"), Annotation: se vaya
    Time Stamp: ("'ts129'", "'ts130'"), Annotation: a ja
    Time Stamp: ("'ts131'", "'ts132'"), Annotation: ama mordingi
    Time Stamp: ("'ts135'", "'ts136'"), Annotation: a ja
    Time Stamp: ("'ts139'", "'ts140'"), Annotation: ñuka amigo
