Speaker: hombre 1
  Tier Type: po, Annotations Count: 772
    Time Stamp: ("'ts231'", "'ts232'"), Annotation: kalpash chinganama nin
    Time Stamp: ("'ts235'", "'ts236'"), Annotation: chaymanda kutin
    Time Stamp: ("'ts237'", "'ts238'"), Annotation: chifichaka
    Time Stamp: ("'ts239'", "'ts240'"), Annotation: mastin
    Time Stamp: ("'ts241'", "'ts242'"), Annotation: chifichaka
    Time Stamp: ("'ts243'", "'ts244'"), Annotation: shina
    Time Stamp: ("'ts245'", "'ts246'"), Annotation: utilamanta mama taytakiunamanda  shitashka karinga
    Time Stamp: ("'ts247'", "'ts248'"), Annotation: shina kashaka mama tayta kunanga wakinbika sidipi  yalijun
    Time Stamp: ("'ts249'", "'ts250'"), Annotation: chayka ila mama tianacashka ila mama chayga
    Time Stamp: ("'ts251'", "'ts252'"), Annotation: ishkay wawata viuduta japishka
    Time Stamp: ("'ts253'", "'ts254'"), Annotation: chayka shina
    Time Stamp: ("'ts255'", "'ts256'"), Annotation: ila mamaka kutin
    Time Stamp: ("'ts257'", "'ts258'"), Annotation: camba guaguayu
    Time Stamp: ("'ts259'", "'ts260'"), Annotation: cargani shina mañan nigka
    Time Stamp: ("'ts261'", "'ts262'"), Annotation: taytaka yantaman apashpa ririn
    Time Stamp: ("'ts263'", "'ts264'"), Annotation: yantaman apashpa rreshpa purutapash apashpa
    Time Stamp: ("'ts265'", "'ts266'"), Annotation: kaypi shuyanajungichinishpa sakishpa ririn
    Time Stamp: ("'ts267'", "'ts268'"), Annotation: sakishpa rigki
    Time Stamp: ("'ts269'", "'ts270'"), Annotation: puruta guarkushpa tak nipi utila warmitagu jatarishpa chapun chapan
    Time Stamp: ("'ts271'", "'ts272'"), Annotation: na rikurigpi shina rinllakuna paykuna jatarishpa yana tarish
    Time Stamp: ("'ts273'", "'ts274'"), Annotation: chiga shina riiiiiiiinajun
    Time Stamp: ("'ts275'", "'ts276'"), Annotation: shina cien laduta chakilla guaguakuna shina  sacha ukuta shina mashti guasha niduta shina urkulla rinajun
    Time Stamp: ("'ts277'", "'ts278'"), Annotation: shina resh shina resh resh reshpalla
    Time Stamp: ("'ts279'", "'ts280'"), Annotation: kutin shug guasigupi chipi
    Time Stamp: ("'ts281'", "'ts282'"), Annotation: chayrigpimi
    Time Stamp: ("'ts283'", "'ts284'"), Annotation: chificha tianakashka nin chay chificha apugpimi
    Time Stamp: ("'ts285'", "'ts286'"), Annotation: chayarishka ninma
    Time Stamp: ("'ts287'", "'ts288'"), Annotation: chica
    Time Stamp: ("'ts289'", "'ts290'"), Annotation: shamuylla guaguaguna nishga ukuman yaykuchishka charishga
    Time Stamp: ("'ts291'", "'ts292'"), Annotation: jarituataka kutin shinachaypish
    Time Stamp: ("'ts293'", "'ts294'"), Annotation: jarituguataka mikurin
    Time Stamp: ("'ts295'", "'ts296'"), Annotation: kutin kayshutaka kutinpuñuchichin
    Time Stamp: ("'ts297'", "'ts298'"), Annotation: rikcharish
    Time Stamp: ("'ts299'", "'ts300'"), Annotation: rikytaka rikushhami alayru umarakuna tiakushka nin
    Time Stamp: ("'ts301'", "'ts302'"), Annotation: chay ishcandiga chay
    Time Stamp: ("'ts303'", "'ts304'"), Annotation: ni puñujumi pujummi nishgaka
    Time Stamp: ("'ts305'", "'ts306'"), Annotation: pash puñungi chay guarmitaguka shugshishpa riringaka
    Time Stamp: ("'ts309'", "'ts310'"), Annotation: segun cuentuka chayta shina saguii imashti
    Time Stamp: ("'ts311'", "'ts312'"), Annotation: tulluata apashpa rririnnin  yaguarrta imata shina apashparririn nin chay panika
    Time Stamp: ("'ts313'", "'ts314'"), Annotation: chyga rish  shina caru rrijujpi
    Time Stamp: ("'ts315'", "'ts316'"), Annotation: primeruka
    Time Stamp: ("'ts317'", "'ts318'"), Annotation: mashti
    Time Stamp: ("'ts319'", "'ts320'"), Annotation: tapuy tapuy katishkanin chifichaka chayka  rrirri rrirri rrirri rrirringacha chayka
    Time Stamp: ("'ts321'", "'ts322'"), Annotation: imashti
    Time Stamp: ("'ts323'", "'ts324'"), Annotation: imami chachi
    Time Stamp: ("'ts329'", "'ts330'"), Annotation: na chayga
    Time Stamp: ("'ts331'", "'ts332'"), Annotation: añas tagshajushka nin
    Time Stamp: ("'ts333'", "'ts334'"), Annotation: añas tagshajuki
    Time Stamp: ("'ts335'", "'ts336'"), Annotation: tia
    Time Stamp: ("'ts337'", "'ts338'"), Annotation: naachu kayta yalimurga nachu rigurimurga nish tapugpi
    Time Stamp: ("'ts339'", "'ts340'"), Annotation: shinaka villasha ñukata siquita chapaguay nisha
    Time Stamp: ("'ts341'", "'ts342'"), Annotation: rrikujugpi añaska ishpashpa churashkanin chay ñavi tursiringakaman
    Time Stamp: ("'ts343'", "'ts344'"), Annotation: kutin tagshana kipishgata llukchish kachashkanin
    Time Stamp: ("'ts345'", "'ts346'"), Annotation: chaymanda kutin shina rriringa rriringa ña
    Time Stamp: ("'ts347'", "'ts348'"), Annotation: rishka
    Time Stamp: ("'ts349'", "'ts350'"), Annotation: kutin kutin
    Time Stamp: ("'ts351'", "'ts352'"), Annotation: shug imatami nisha chirin
    Time Stamp: ("'ts353'", "'ts354'"), Annotation: chaymanta  kutin
    Time Stamp: ("'ts355'", "'ts356'"), Annotation: jampatu sancaaaaajushka nin
    Time Stamp: ("'ts357'", "'ts358'"), Annotation: chaypimichayaringa utila guaguaka
    Time Stamp: ("'ts359'", "'ts360'"), Annotation: chayga imashu shinami shamuni nigpika
    Time Stamp: ("'ts361'", "'ts362'"), Annotation: chamba ukupi pakkashapa churagka
    Time Stamp: ("'ts363'", "'ts364'"), Annotation: tiu killu viksa nachu rikuparkangui
    Time Stamp: ("'ts365'", "'ts366'"), Annotation: nish tapugpi kutin paysh barraguan pikash kaman nin
    Time Stamp: ("'ts367'", "'ts368'"), Annotation: chaymantami kutin
    Time Stamp: ("'ts369'", "'ts370'"), Annotation: utila
