Speaker: simeon
  Tier Type: po, Annotations Count: 1001
    Time Stamp: ("'ts251'", "'ts252'"), Annotation: aa hueso
    Time Stamp: ("'ts254'", "'ts256'"), Annotation: tullo
    Time Stamp: ("'ts257'", "'ts259'"), Annotation: roca
    Time Stamp: ("'ts264'", "'ts267'"), Annotation: rumi rumi o jaka ari walka wanga o wanka tyanchu
    Time Stamp: ("'ts268'", "'ts269'"), Annotation: wanga tyan
    Time Stamp: ("'ts271'", "'ts273'"), Annotation: imata kan wanga
    Time Stamp: ("'ts275'", "'ts277'"), Annotation: palanca
    Time Stamp: ("'ts280'", "'ts282'"), Annotation: entonces na na rumi kan
    Time Stamp: ("'ts283'", "'ts293'"), Annotation: kaypi nin si no shina rumi   wanga kaypi pero pero significadokuna kambiarin wakimpi shuk rumi shuk palancawan shinangui talvez kambiarin significadokuna nachu
    Time Stamp: ("'ts294'", "'ts297'"), Annotation: shina tukun ñuka churasha wanka pero palanca chay kipa churasha rumi y jaka
    Time Stamp: ("'ts299'", "'ts304'"), Annotation: chay chimborazo nin kaka nachu kjaka kjaka  y paykuna nin porque unificado kichwapi solo kawan escribin mana ka y kja ishkay tyan kja y ka paykuna ninga nachu
    Time Stamp: ("'ts305'", "'ts311'"), Annotation: eem kan kan pero kjari nachu con la kja kaypi ninga kandi kjari nachu
    Time Stamp: ("'ts312'", "'ts320'"), Annotation:  entonces ñuka amiga chimborazomanda nin mana munani unificado escribina kaka porque chaymi kan kjaka shuk  rumi urku pero kaka shukmi kan nishpa chayta mana escribina munani kaka
    Time Stamp: ("'ts321'", "'ts326'"), Annotation: y chay linguistikapi kan chay par minimo nishka  porque shuk sonidolla cambiarin shuk tyan
    Time Stamp: ("'ts327'", "'ts329'"), Annotation: pacha y facha nachu
    Time Stamp: ("'ts330'", "'ts337'"), Annotation: paykuna ninga phacha  pacha y facha ropa y mundo
    Time Stamp: ("'ts339'", "'ts341'"), Annotation: entonces chay jaka palabra kaypi charinchi como otavalo shina ja nachu
    Time Stamp: ("'ts342'", "'ts346'"), Annotation: porque aun aspirado  k poque que la gente por aqui en otavalo lo lo entrepeto como frecatio ja
    Time Stamp: ("'ts348'", "'ts352'"), Annotation: por los cusqueños tenian una ja  despues de la k kj y aqui decian no puedo pronunciar eso pero tengo la j y dice ja
