Speaker: Simeon
  Tier Type: po, Annotations Count: 2412
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: a ver
    Time Stamp: ("'ts3'", "'ts4'"), Annotation: entonces
    Time Stamp: ("'ts5'", "'ts6'"), Annotation: kutin
    Time Stamp: ("'ts7'", "'ts8'"), Annotation: parlanakanchig shukuna
    Time Stamp: ("'ts9'", "'ts10'"), Annotation: pero rrato
    Time Stamp: ("'ts11'", "'ts12'"), Annotation: ni
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: tal vez
    Time Stamp: ("'ts15'", "'ts16'"), Annotation: ñukauan liishpa
    Time Stamp: ("'ts17'", "'ts18'"), Annotation: ña mas
    Time Stamp: ("'ts19'", "'ts20'"), Annotation: rrinchi nachu
    Time Stamp: ("'ts21'", "'ts22'"), Annotation: chay kallarishun chay
    Time Stamp: ("'ts23'", "'ts24'"), Annotation: chay
    Time Stamp: ("'ts25'", "'ts26'"), Annotation: mucosa flema
    Time Stamp: ("'ts31'", "'ts32'"), Annotation: juña
    Time Stamp: ("'ts35'", "'ts36'"), Annotation: rikuchun
    Time Stamp: ("'ts37'", "'ts39'"), Annotation: shug ñausa
    Time Stamp: ("'ts41'", "'ts42'"), Annotation: ña
    Time Stamp: ("'ts43'", "'ts44'"), Annotation: hongo
    Time Stamp: ("'ts47'", "'ts48'"), Annotation: callimba
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: nombre
    Time Stamp: ("'ts53'", "'ts54'"), Annotation: eeehh
    Time Stamp: ("'ts55'", "'ts56'"), Annotation: ombligo
    Time Stamp: ("'ts61'", "'ts62'"), Annotation: cueyo
    Time Stamp: ("'ts67'", "'ts68'"), Annotation: collar
    Time Stamp: ("'ts73'", "'ts74'"), Annotation: aguja
    Time Stamp: ("'ts77'", "'ts78'"), Annotation: nido
    Time Stamp: ("'ts83'", "'ts84'"), Annotation: red
    Time Stamp: ("'ts91'", "'ts92'"), Annotation: ortiga
    Time Stamp: ("'ts95'", "'ts96'"), Annotation: eeeeeeeeeeeeeeeee
    Time Stamp: ("'ts97'", "'ts98'"), Annotation: noche
    Time Stamp: ("'ts101'", "'ts102'"), Annotation: tuta ña
    Time Stamp: ("'ts103'", "'ts104'"), Annotation: yalishka  kashka
    Time Stamp: ("'ts105'", "'ts106'"), Annotation: (asin)
    Time Stamp: ("'ts107'", "'ts108'"), Annotation: haaa
    Time Stamp: ("'ts109'", "'ts110'"), Annotation: chaymanta
    Time Stamp: ("'ts111'", "'ts112'"), Annotation: auto, auto
    Time Stamp: ("'ts113'", "'ts114'"), Annotation: ña rayan
    Time Stamp: ("'ts115'", "'ts116'"), Annotation: ña
    Time Stamp: ("'ts117'", "'ts119'"), Annotation: eeee
    Time Stamp: ("'ts121'", "'ts122'"), Annotation: singaaa
