Speaker: Mujer 1 
  Tier Type: po, Annotations Count: 560
    Time Stamp: ('ts305', 'ts306'), Annotation: no se 
    Time Stamp: ('ts307', 'ts308'), Annotation: tanqueka 
    Time Stamp: ('ts309', 'ts310'), Annotation: mashnacha shugshinakarka 
    Time Stamp: ('ts311', 'ts312'), Annotation: na tapushganichu 
    Time Stamp: ('ts313', 'ts314'), Annotation: shug cuentaga 
    Time Stamp: ('ts315', 'ts316'), Annotation: muchu 
    Time Stamp: ('ts317', 'ts319'), Annotation: (..............)
    Time Stamp: ('ts321', 'ts322'), Annotation: mucho 
    Time Stamp: ('ts324', 'ts326'), Annotation: kulki illay 
    Time Stamp: ('ts327', 'ts328'), Annotation: kanmanga na 
    Time Stamp: ('ts329', 'ts330'), Annotation: na ofresishkanichu 
    Time Stamp: ('ts331', 'ts332'), Annotation: no se 
    Time Stamp: ('ts335', 'ts336'), Annotation: mikushun 
    Time Stamp: ('ts337', 'ts338'), Annotation: cancela sakirkani 
    Time Stamp: ('ts339', 'ts341'), Annotation: (asin)
    Time Stamp: ('ts351', 'ts352'), Annotation: mmmm
    Time Stamp: ('ts353', 'ts354'), Annotation: jaku 
    Time Stamp: ('ts355', 'ts356'), Annotation: primo gash
    Time Stamp: ('ts357', 'ts358'), Annotation: (.....................)
    Time Stamp: ('ts359', 'ts360'), Annotation: guagua na ali  
    Time Stamp: ('ts361', 'ts362'), Annotation: ba 
    Time Stamp: ('ts363', 'ts364'), Annotation: baratumi kashka 
    Time Stamp: ('ts367', 'ts368'), Annotation: guallambabi 
    Time Stamp: ('ts371', 'ts372'), Annotation: chaypimi 
    Time Stamp: ('ts373', 'ts374'), Annotation: doce dolar
    Time Stamp: ('ts375', 'ts376'), Annotation: quince dolarmi kushka 
    Time Stamp: ('ts377', 'ts378'), Annotation: afrechillu 
    Time Stamp: ('ts379', 'ts380'), Annotation: afrechillu
    Time Stamp: ('ts383', 'ts384'), Annotation: uyangichu 
    Time Stamp: ('ts385', 'ts386'), Annotation: imaurachurachibibash
    Time Stamp: ('ts387', 'ts388'), Annotation: na churanchi
    Time Stamp: ('ts389', 'ts390'), Annotation: kuanchika 
    Time Stamp: ('ts391', 'ts392'), Annotation: balanseagunan 
    Time Stamp: ('ts393', 'ts394'), Annotation: (.......................)
    Time Stamp: ('ts400', 'ts402'), Annotation: morochillo nishga imasti 
    Time Stamp: ('ts403', 'ts404'), Annotation: arrobaguka 
    Time Stamp: ('ts405', 'ts406'), Annotation: cuatro dolarmi kashka 
    Time Stamp: ('ts407', 'ts409'), Annotation: kaypi 
    Time Stamp: ('ts411', 'ts413'), Annotation: baratu ninga 
    Time Stamp: ('ts415', 'ts416'), Annotation: ñuka 
    Time Stamp: ('ts417', 'ts418'), Annotation: morochillushi
    Time Stamp: ('ts426', 'ts429'), Annotation: eeeeeh
    Time Stamp: ('ts431', 'ts432'), Annotation: (................)
    Time Stamp: ('ts435', 'ts436'), Annotation: kaypiga 
    Time Stamp: ('ts437', 'ts438'), Annotation: treinta dolarrr
    Time Stamp: ('ts439', 'ts440'), Annotation: unoka 
    Time Stamp: ('ts441', 'ts442'), Annotation: chishi vinio gintika
    Time Stamp: ('ts443', 'ts444'), Annotation: asiloka 
    Time Stamp: ('ts445', 'ts446'), Annotation: dieci seis dolar nirkami
    Time Stamp: ('ts449', 'ts450'), Annotation: kayruku 
    Time Stamp: ('ts451', 'ts452'), Annotation: shina rrakuluandi 
    Time Stamp: ('ts453', 'ts454'), Annotation: doce dolarr nirka 
    Time Stamp: ('ts455', 'ts456'), Annotation: (.............................)
    Time Stamp: ('ts460', 'ts462'), Annotation: na tapunichu 
    Time Stamp: ('ts463', 'ts464'), Annotation: curicu urapika 
    Time Stamp: ('ts471', 'ts472'), Annotation: veinti dos nircami 
    Time Stamp: ('ts477', 'ts478'), Annotation: na tapunichu 
    Time Stamp: ('ts485', 'ts487'), Annotation: quinuashu 
    Time Stamp: ('ts489', 'ts490'), Annotation: (.......................)
    Time Stamp: ('ts491', 'ts492'), Annotation: na nircamari 
    Time Stamp: ('ts493', 'ts494'), Annotation: covachami 
    Time Stamp: ('ts495', 'ts496'), Annotation: guashamaga 
    Time Stamp: ('ts497', 'ts498'), Annotation: vagokunaaaaaaa
    Time Stamp: ('ts505', 'ts506'), Annotation: shina 
    Time Stamp: ('ts507', 'ts508'), Annotation: na, na, na
    Time Stamp: ('ts509', 'ts510'), Annotation: (...................)
    Time Stamp: ('ts511', 'ts512'), Annotation: (.............................)
    Time Stamp: ('ts519', 'ts520'), Annotation: (..........)
    Time Stamp: ('ts521', 'ts522'), Annotation: (............................)
    Time Stamp: ('ts523', 'ts524'), Annotation: shina cainga 
    Time Stamp: ('ts531', 'ts532'), Annotation: mmmmm
    Time Stamp: ('ts533', 'ts534'), Annotation: (.................)
    Time Stamp: ('ts535', 'ts536'), Annotation: (.................)
    Time Stamp: ('ts537', 'ts538'), Annotation: chirlo
    Time Stamp: ('ts540', 'ts542'), Annotation: diez
    Time Stamp: ('ts547', 'ts548'), Annotation: haaaaaa
    Time Stamp: ('ts549', 'ts550'), Annotation: ocho 
    Time Stamp: ('ts551', 'ts552'), Annotation: ma tota 
    Time Stamp: ('ts553', 'ts554'), Annotation: machachinga 
    Time Stamp: ('ts559', 'ts560'), Annotation: ha ah 
    Time Stamp: ('ts561', 'ts562'), Annotation: mayuka 
    Time Stamp: ('ts563', 'ts564'), Annotation: na contashkanichu 
    Time Stamp: ('ts565', 'ts566'), Annotation: unos 
    Time Stamp: ('ts567', 'ts569'), Annotation: quince mingayman 
    Time Stamp: ('ts583', 'ts585'), Annotation: (asinakun)
    Time Stamp: ('ts593', 'ts594'), Annotation: ashku
    Time Stamp: ('ts595', 'ts596'), Annotation: kuchi mikunata 
    Time Stamp: ('ts597', 'ts598'), Annotation: rrigashka
    Time Stamp: ('ts599', 'ts600'), Annotation: chitaka 
    Time Stamp: ('ts611', 'ts612'), Annotation: que hay arrotsito 
    Time Stamp: ('ts613', 'ts614'), Annotation: arrocito 
    Time Stamp: ('ts615', 'ts616'), Annotation: ñañaka 
    Time Stamp: ('ts617', 'ts619'), Annotation: algo mismo esta 
    Time Stamp: ('ts621', 'ts622'), Annotation: algo mismo 
    Time Stamp: ('ts623', 'ts624'), Annotation: antes de 
    Time Stamp: ('ts625', 'ts626'), Annotation: antes de que diga
    Time Stamp: ('ts627', 'ts628'), Annotation: algo le pasa a ñaña
    Time Stamp: ('ts629', 'ts630'), Annotation: (...........)
    Time Stamp: ('ts631', 'ts632'), Annotation: no esta dando problema 
    Time Stamp: ('ts633', 'ts634'), Annotation: no se 
    Time Stamp: ('ts635', 'ts636'), Annotation: esos dos dias 
    Time Stamp: ('ts637', 'ts638'), Annotation: asi me hizo 
    Time Stamp: ('ts643', 'ts644'), Annotation: ando bien 
    Time Stamp: ('ts645', 'ts646'), Annotation: (...............)
    Time Stamp: ('ts647', 'ts648'), Annotation: dijo 
    Time Stamp: ('ts651', 'ts652'), Annotation: si voy a decir 
    Time Stamp: ('ts661', 'ts662'), Annotation: mmmmmmm
    Time Stamp: ('ts663', 'ts664'), Annotation: shina nishcaguan
    Time Stamp: ('ts665', 'ts666'), Annotation: ahi ha de comprender 
    Time Stamp: ('ts671', 'ts672'), Annotation: Elenapapi 
    Time Stamp: ('ts673', 'ts674'), Annotation: (..................)
    Time Stamp: ('ts675', 'ts676'), Annotation: (..................)
    Time Stamp: ('ts679', 'ts680'), Annotation: (..................)
    Time Stamp: ('ts681', 'ts682'), Annotation: primero satish 
    Time Stamp: ('ts689', 'ts690'), Annotation: (mm)
    Time Stamp: ('ts691', 'ts692'), Annotation: ahi ta 
    Time Stamp: ('ts693', 'ts694'), Annotation: vaya, vaya mijo 
    Time Stamp: ('ts695', 'ts696'), Annotation: (.............)
    Time Stamp: ('ts697', 'ts698'), Annotation: quieto 
    Time Stamp: ('ts699', 'ts700'), Annotation: (.....................)
    Time Stamp: ('ts701', 'ts702'), Annotation: no le llames 
    Time Stamp: ('ts709', 'ts710'), Annotation: ari
    Time Stamp: ('ts716', 'ts718'), Annotation: hijo 
    Time Stamp: ('ts753', 'ts754'), Annotation: ha yaya
    Time Stamp: ('ts755', 'ts756'), Annotation: entonceska
    Time Stamp: ('ts759', 'ts760'), Annotation: entonces 
    Time Stamp: ('ts761', 'ts762'), Annotation: que van andar 
    Time Stamp: ('ts763', 'ts764'), Annotation: mas a 
    Time Stamp: ('ts765', 'ts766'), Annotation: Marìaaa
    Time Stamp: ('ts767', 'ts768'), Annotation: (.................)
    Time Stamp: ('ts769', 'ts770'), Annotation: (..........)
    Time Stamp: ('ts771', 'ts772'), Annotation: deahica porque ya 
