Speaker: Simeon
  Tier Type: po, Annotations Count: 1045
    Time Stamp: ('ts620', 'ts622'), Annotation: kushki
    Time Stamp: ('ts624', 'ts626'), Annotation: kaypi ashtaguan
    Time Stamp: ('ts627', 'ts628'), Annotation: ima ashtaguan correcto kan 
    Time Stamp: ('ts629', 'ts630'), Annotation: kushki
    Time Stamp: ('ts631', 'ts632'), Annotation: o kulki
    Time Stamp: ('ts633', 'ts634'), Annotation: o ishtan 
    Time Stamp: ('ts635', 'ts637'), Annotation: o es igual 
    Time Stamp: ('ts641', 'ts642'), Annotation: ya
    Time Stamp: ('ts651', 'ts652'), Annotation: ari, ari
    Time Stamp: ('ts657', 'ts659'), Annotation: (asinakun)
    Time Stamp: ('ts665', 'ts666'), Annotation: ari, ari 
    Time Stamp: ('ts667', 'ts668'), Annotation: entonces 
    Time Stamp: ('ts669', 'ts670'), Annotation: chayta 
    Time Stamp: ('ts671', 'ts672'), Annotation: jatushpa, jatushpa rrirka
    Time Stamp: ('ts674', 'ts676'), Annotation: imapi rig
    Time Stamp: ('ts677', 'ts678'), Annotation: imapi rishpa 
    Time Stamp: ('ts679', 'ts680'), Annotation: chaquilla 
    Time Stamp: ('ts681', 'ts682'), Annotation: bus tiarca chayuras 
    Time Stamp: ('ts687', 'ts689'), Annotation: chakilla
    Time Stamp: ('ts706', 'ts708'), Annotation: lluchu chaki
    Time Stamp: ('ts709', 'ts712'), Annotation: nachu alpargate
    Time Stamp: ('ts713', 'ts715'), Annotation: shina 
    Time Stamp: ('ts716', 'ts718'), Annotation: tsaguar
    Time Stamp: ('ts719', 'ts720'), Annotation: nachu 
    Time Stamp: ('ts721', 'ts722'), Annotation: tsaguar
    Time Stamp: ('ts754', 'ts755'), Annotation: ari
    Time Stamp: ('ts781', 'ts782'), Annotation: (asin)
    Time Stamp: ('ts825', 'ts826'), Annotation: imapi trabajarkangi 
    Time Stamp: ('ts828', 'ts830'), Annotation: haaa
    Time Stamp: ('ts831', 'ts832'), Annotation: ima 
    Time Stamp: ('ts833', 'ts834'), Annotation: guasichish
    Time Stamp: ('ts835', 'ts836'), Annotation: shina edificiokuna 
    Time Stamp: ('ts844', 'ts845'), Annotation: ari
    Time Stamp: ('ts892', 'ts894'), Annotation: cierto
    Time Stamp: ('ts911', 'ts912'), Annotation: entonces chay horas  ña
    Time Stamp: ('ts913', 'ts914'), Annotation: eeeeeee
    Time Stamp: ('ts915', 'ts916'), Annotation: chay trabajoan ña 
    Time Stamp: ('ts917', 'ts918'), Annotation: ña
    Time Stamp: ('ts919', 'ts920'), Annotation: medio viñarkangi 
    Time Stamp: ('ts921', 'ts922'), Annotation: chaypi ña 
    Time Stamp: ('ts923', 'ts924'), Annotation: ima ima guata 
    Time Stamp: ('ts925', 'ts926'), Annotation: ima edad guan kasararkangi 
    Time Stamp: ('ts928', 'ts930'), Annotation: ima edadguan kazararkangi 
    Time Stamp: ('ts931', 'ts933'), Annotation: mashna guatata charishpa 
    Time Stamp: ('ts938', 'ts939'), Annotation: veinti un
    Time Stamp: ('ts953', 'ts954'), Annotation: ña
    Time Stamp: ('ts955', 'ts956'), Annotation: shina tukun 
    Time Stamp: ('ts1033', 'ts1034'), Annotation: cierto 
    Time Stamp: ('ts1035', 'ts1037'), Annotation: chaypi 
    Time Stamp: ('ts1038', 'ts1040'), Annotation: chaypi iglesia tiarka 
    Time Stamp: ('ts1044', 'ts1046'), Annotation: kaypi na 
    Time Stamp: ('ts1052', 'ts1053'), Annotation: ari
    Time Stamp: ('ts1089', 'ts1091'), Annotation: (asinakuna)
    Time Stamp: ('ts1092', 'ts1094'), Annotation: na munarga 
