Speaker: Simeon
  Tier Type: po, Annotations Count: 1351
    Time Stamp: ('ts167', 'ts168'), Annotation: si
    Time Stamp: ('ts169', 'ts170'), Annotation: ha ja 
    Time Stamp: ('ts171', 'ts172'), Annotation: has cuchado 
    Time Stamp: ('ts173', 'ts174'), Annotation: que algunos 
    Time Stamp: ('ts175', 'ts176'), Annotation: de asi de Cimborazo 
    Time Stamp: ('ts177', 'ts178'), Annotation: van a decir 
    Time Stamp: ('ts179', 'ts180'), Annotation: allku
    Time Stamp: ('ts183', 'ts184'), Annotation: has oido 
    Time Stamp: ('ts185', 'ts186'), Annotation: pero por aqu
    Time Stamp: ('ts187', 'ts188'), Annotation: se dice 
    Time Stamp: ('ts189', 'ts190'), Annotation: alku
    Time Stamp: ('ts191', 'ts192'), Annotation: a ja 
    Time Stamp: ('ts193', 'ts194'), Annotation: pela 
    Time Stamp: ('ts195', 'ts196'), Annotation: tierra
    Time Stamp: ('ts199', 'ts200'), Annotation: la tiera
    Time Stamp: ('ts201', 'ts202'), Annotation: como 
    Time Stamp: ('ts203', 'ts204'), Annotation: se dice 
    Time Stamp: ('ts209', 'ts210'), Annotation: es alpa
    Time Stamp: ('ts211', 'ts212'), Annotation: tambien 
    Time Stamp: ('ts213', 'ts214'), Annotation: no
    Time Stamp: ('ts218', 'ts220'), Annotation: y la 
    Time Stamp: ('ts221', 'ts222'), Annotation: plata
    Time Stamp: ('ts225', 'ts226'), Annotation: kulki
    Time Stamp: ('ts227', 'ts228'), Annotation: a ja 
    Time Stamp: ('ts229', 'ts230'), Annotation: entonces 
    Time Stamp: ('ts231', 'ts232'), Annotation: muy bien 
    Time Stamp: ('ts233', 'ts234'), Annotation: entonces 
    Time Stamp: ('ts235', 'ts236'), Annotation: el pero 
    Time Stamp: ('ts237', 'ts238'), Annotation: viene
    Time Stamp: ('ts239', 'ts240'), Annotation: ee
    Time Stamp: ('ts241', 'ts242'), Annotation: con quien 
    Time Stamp: ('ts243', 'ts244'), Annotation: con quien 
    Time Stamp: ('ts245', 'ts246'), Annotation: eeeeee
    Time Stamp: ('ts247', 'ts248'), Annotation: aprendio hablar kichua
    Time Stamp: ('ts285', 'ts286'), Annotation: ya
    Time Stamp: ('ts293', 'ts294'), Annotation: rrinlli
    Time Stamp: ('ts297', 'ts298'), Annotation: eeeee
    Time Stamp: ('ts299', 'ts300'), Annotation: y
    Time Stamp: ('ts301', 'ts302'), Annotation: yyyyyyyy
    Time Stamp: ('ts303', 'ts304'), Annotation: sus papas
    Time Stamp: ('ts305', 'ts306'), Annotation: o
    Time Stamp: ('ts307', 'ts308'), Annotation: sus abuelos 
    Time Stamp: ('ts309', 'ts310'), Annotation: conversaban 
    Time Stamp: ('ts311', 'ts312'), Annotation: en kichua
    Time Stamp: ('ts315', 'ts316'), Annotation: ya
    Time Stamp: ('ts331', 'ts332'), Annotation: a ja 
    Time Stamp: ('ts369', 'ts370'), Annotation: y como dicen
    Time Stamp: ('ts371', 'ts372'), Annotation: entonces
    Time Stamp: ('ts373', 'ts374'), Annotation: que vaya a matar a ese hombre 
    Time Stamp: ('ts393', 'ts394'), Annotation: matasha
    Time Stamp: ('ts399', 'ts400'), Annotation: a ja 
    Time Stamp: ('ts417', 'ts418'), Annotation: a ja 
    Time Stamp: ('ts421', 'ts422'), Annotation: ama miricin ñukaman
    Time Stamp: ('ts425', 'ts426'), Annotation: eeeee
    Time Stamp: ('ts427', 'ts428'), Annotation: matasha
    Time Stamp: ('ts431', 'ts432'), Annotation: conoce
    Time Stamp: ('ts433', 'ts434'), Annotation: guañuchisha
    Time Stamp: ('ts439', 'ts440'), Annotation: a ja
    Time Stamp: ('ts447', 'ts448'), Annotation: a ja
    Time Stamp: ('ts453', 'ts454'), Annotation: morir
    Time Stamp: ('ts455', 'ts456'), Annotation: yyy
    Time Stamp: ('ts457', 'ts458'), Annotation: voy a 
    Time Stamp: ('ts459', 'ts460'), Annotation: el hombre
    Time Stamp: ('ts461', 'ts462'), Annotation: como digo el hombre 
    Time Stamp: ('ts465', 'ts466'), Annotation: el hombre
    Time Stamp: ('ts467', 'ts468'), Annotation: voy a matar el hombre 
    Time Stamp: ('ts485', 'ts486'), Annotation: ama miricin
    Time Stamp: ('ts487', 'ts488'), Annotation: ya
    Time Stamp: ('ts489', 'ts490'), Annotation: y
    Time Stamp: ('ts491', 'ts492'), Annotation: hey
    Time Stamp: ('ts493', 'ts494'), Annotation: para decir al hombre
    Time Stamp: ('ts495', 'ts496'), Annotation: se va a
    Time Stamp: ('ts497', 'ts498'), Annotation: decir ellll
    Time Stamp: ('ts499', 'ts500'), Annotation: elll
    Time Stamp: ('ts501', 'ts502'), Annotation: kari
    Time Stamp: ('ts503', 'ts504'), Annotation: karita
    Time Stamp: ('ts505', 'ts506'), Annotation: jarita
    Time Stamp: ('ts511', 'ts512'), Annotation: o
    Time Stamp: ('ts513', 'ts514'), Annotation: kari
    Time Stamp: ('ts515', 'ts516'), Annotation: karita
    Time Stamp: ('ts517', 'ts518'), Annotation: karita
    Time Stamp: ('ts519', 'ts520'), Annotation: gua
    Time Stamp: ('ts521', 'ts522'), Annotation: matasha
    Time Stamp: ('ts527', 'ts528'), Annotation: es jari
    Time Stamp: ('ts533', 'ts534'), Annotation: jari
    Time Stamp: ('ts539', 'ts540'), Annotation: jari
    Time Stamp: ('ts541', 'ts542'), Annotation: ha ja 
    Time Stamp: ('ts547', 'ts548'), Annotation: ha ja
    Time Stamp: ('ts549', 'ts550'), Annotation: aqui
    Time Stamp: ('ts551', 'ts552'), Annotation: hay otros
    Time Stamp: ('ts553', 'ts554'), Annotation: que podemos
    Time Stamp: ('ts555', 'ts556'), Annotation: ser
    Time Stamp: ('ts557', 'ts558'), Annotation: eeeeeee
    Time Stamp: ('ts559', 'ts560'), Annotation: a ver
    Time Stamp: ('ts561', 'ts562'), Annotation: ima shina nimi
    Time Stamp: ('ts563', 'ts564'), Annotation: kichuapi 
    Time Stamp: ('ts565', 'ts566'), Annotation: amor
    Time Stamp: ('ts575', 'ts576'), Annotation: ami shina
    Time Stamp: ('ts577', 'ts578'), Annotation: ima shina nini 
    Time Stamp: ('ts579', 'ts580'), Annotation: como digo
    Time Stamp: ('ts585', 'ts586'), Annotation: a ja
    Time Stamp: ('ts587', 'ts588'), Annotation: eee
    Time Stamp: ('ts589', 'ts590'), Annotation: y
    Time Stamp: ('ts591', 'ts592'), Annotation: como digo
    Time Stamp: ('ts593', 'ts594'), Annotation: la palabra amor 
    Time Stamp: ('ts595', 'ts596'), Annotation: sabes como decir 
    Time Stamp: ('ts597', 'ts598'), Annotation: amor
    Time Stamp: ('ts599', 'ts600'), Annotation: en kichua
    Time Stamp: ('ts605', 'ts606'), Annotation: o  yo te amo
    Time Stamp: ('ts609', 'ts610'), Annotation: ñuka amorcito 
    Time Stamp: ('ts621', 'ts622'), Annotation: kamba corazonguan
    Time Stamp: ('ts623', 'ts624'), Annotation: mmmm
    Time Stamp: ('ts629', 'ts630'), Annotation: a ja 
    Time Stamp: ('ts631', 'ts632'), Annotation: conoceeeeeeeeee
    Time Stamp: ('ts633', 'ts634'), Annotation: juyashka
    Time Stamp: ('ts635', 'ts636'), Annotation: juyay
    Time Stamp: ('ts645', 'ts646'), Annotation: haaa
    Time Stamp: ('ts647', 'ts648'), Annotation: te quiero 
    Time Stamp: ('ts651', 'ts652'), Annotation: como se dice 
    Time Stamp: ('ts653', 'ts654'), Annotation: si
    Time Stamp: ('ts655', 'ts656'), Annotation: yo te quiero 
    Time Stamp: ('ts657', 'ts658'), Annotation: ese
    Time Stamp: ('ts659', 'ts660'), Annotation: ñuka shy
    Time Stamp: ('ts661', 'ts662'), Annotation: kamba 
    Time Stamp: ('ts663', 'ts664'), Annotation: kamba shungu juyani 
    Time Stamp: ('ts665', 'ts666'), Annotation: juyan 
    Time Stamp: ('ts667', 'ts668'), Annotation: a ja 
    Time Stamp: ('ts669', 'ts670'), Annotation: muy bien
    Time Stamp: ('ts671', 'ts672'), Annotation: eeeeeeeee
    Time Stamp: ('ts673', 'ts674'), Annotation: un gusanito 
    Time Stamp: ('ts675', 'ts676'), Annotation: como se 
    Time Stamp: ('ts677', 'ts678'), Annotation: se ama
    Time Stamp: ('ts679', 'ts680'), Annotation: un gusanito
    Time Stamp: ('ts693', 'ts694'), Annotation: esque hay 
    Time Stamp: ('ts695', 'ts696'), Annotation: do
    Time Stamp: ('ts697', 'ts698'), Annotation: hay varios 
    Time Stamp: ('ts699', 'ts700'), Annotation: no
    Time Stamp: ('ts701', 'ts702'), Annotation: eeeeeeeeee
    Time Stamp: ('ts703', 'ts704'), Annotation: creo que 
    Time Stamp: ('ts705', 'ts706'), Annotation: segun lo que le estoy escuchando 
    Time Stamp: ('ts707', 'ts708'), Annotation: por aqui se va a llamar
    Time Stamp: ('ts709', 'ts710'), Annotation: juru
    Time Stamp: ('ts711', 'ts712'), Annotation: juru
    Time Stamp: ('ts713', 'ts714'), Annotation: o sino 
    Time Stamp: ('ts715', 'ts716'), Annotation: kuru
    Time Stamp: ('ts738', 'ts740'), Annotation: a ja
    Time Stamp: ('ts741', 'ts742'), Annotation: eso es 
    Time Stamp: ('ts743', 'ts744'), Annotation: kuru
    Time Stamp: ('ts749', 'ts750'), Annotation: e ja 
    Time Stamp: ('ts751', 'ts752'), Annotation: y se suena mas
    Time Stamp: ('ts753', 'ts754'), Annotation: kuru 
    Time Stamp: ('ts755', 'ts756'), Annotation: o se suena mas 
    Time Stamp: ('ts757', 'ts758'), Annotation: juru
    Time Stamp: ('ts761', 'ts762'), Annotation: juru 
    Time Stamp: ('ts765', 'ts766'), Annotation: juru 
    Time Stamp: ('ts767', 'ts768'), Annotation: como
    Time Stamp: ('ts769', 'ts770'), Annotation: jari 
    Time Stamp: ('ts775', 'ts776'), Annotation: otro mas 
    Time Stamp: ('ts777', 'ts778'), Annotation: que tiene ese
    Time Stamp: ('ts791', 'ts792'), Annotation: ishki
    Time Stamp: ('ts803', 'ts804'), Annotation: mmmmm
    Time Stamp: ('ts805', 'ts806'), Annotation: ya ya 
    Time Stamp: ('ts813', 'ts814'), Annotation: ha ya
    Time Stamp: ('ts815', 'ts816'), Annotation: guarmy 
    Time Stamp: ('ts817', 'ts818'), Annotation: juru
    Time Stamp: ('ts819', 'ts820'), Annotation: y
    Time Stamp: ('ts829', 'ts830'), Annotation: kari 
    Time Stamp: ('ts835', 'ts837'), Annotation: kari 
    Time Stamp: ('ts841', 'ts842'), Annotation: ha ya, ya 
    Time Stamp: ('ts843', 'ts844'), Annotation: entonces ahi 
    Time Stamp: ('ts845', 'ts846'), Annotation: como que le
    Time Stamp: ('ts847', 'ts848'), Annotation: escucho 
    Time Stamp: ('ts849', 'ts850'), Annotation: mas la pronunciacion 
    Time Stamp: ('ts851', 'ts852'), Annotation: kari 
    Time Stamp: ('ts854', 'ts856'), Annotation: y kuru
    Time Stamp: ('ts859', 'ts860'), Annotation: no
    Time Stamp: ('ts861', 'ts862'), Annotation: cierto 
    Time Stamp: ('ts867', 'ts868'), Annotation: hay dice 
    Time Stamp: ('ts869', 'ts870'), Annotation: jari 
    Time Stamp: ('ts871', 'ts873'), Annotation: tambien 
    Time Stamp: ('ts875', 'ts876'), Annotation: pero no dice
    Time Stamp: ('ts877', 'ts878'), Annotation: juru
    Time Stamp: ('ts879', 'ts880'), Annotation: o si dice 
    Time Stamp: ('ts881', 'ts882'), Annotation: juru
    Time Stamp: ('ts891', 'ts892'), Annotation: ya
    Time Stamp: ('ts893', 'ts894'), Annotation: jari 
    Time Stamp: ('ts895', 'ts896'), Annotation: jari 
    Time Stamp: ('ts900', 'ts902'), Annotation: ha ja 
    Time Stamp: ('ts914', 'ts916'), Annotation: jari, jari 
    Time Stamp: ('ts917', 'ts919'), Annotation: ufiaringi 
    Time Stamp: ('ts921', 'ts922'), Annotation: y
    Time Stamp: ('ts923', 'ts924'), Annotation: imata 
    Time Stamp: ('ts927', 'ts928'), Annotation: imata ufingi
    Time Stamp: ('ts931', 'ts932'), Annotation: shina nigpi 
    Time Stamp: ('ts933', 'ts934'), Annotation: shina nishpa 
    Time Stamp: ('ts937', 'ts938'), Annotation: trago 
    Time Stamp: ('ts941', 'ts942'), Annotation: chicha
    Time Stamp: ('ts943', 'ts944'), Annotation: azua
    Time Stamp: ('ts947', 'ts949'), Annotation: azua
    Time Stamp: ('ts952', 'ts954'), Annotation: ufiashun 
    Time Stamp: ('ts957', 'ts958'), Annotation: azuata ufiashun 
    Time Stamp: ('ts965', 'ts966'), Annotation: azua ufiashun 
    Time Stamp: ('ts969', 'ts970'), Annotation: azua ufiashun 
    Time Stamp: ('ts981', 'ts982'), Annotation: mm j 
    Time Stamp: ('ts985', 'ts987'), Annotation: ha ja 
    Time Stamp: ('ts989', 'ts990'), Annotation: Orienteman rishkangichu 
    Time Stamp: ('ts993', 'ts994'), Annotation: kikin 
    Time Stamp: ('ts995', 'ts996'), Annotation: Orienteman rishkangichu 
    Time Stamp: ('ts1003', 'ts1004'), Annotation: lejos pacha 
    Time Stamp: ('ts1009', 'ts1010'), Annotation: nachu 
    Time Stamp: ('ts1011', 'ts1012'), Annotation: Papayagta ñan 
    Time Stamp: ('ts1029', 'ts1031'), Annotation: Papayagta
    Time Stamp: ('ts1041', 'ts1042'), Annotation: a ja 
    Time Stamp: ('ts1043', 'ts1044'), Annotation: karu 
    Time Stamp: ('ts1045', 'ts1046'), Annotation: lejos 
    Time Stamp: ('ts1047', 'ts1048'), Annotation: karu 
    Time Stamp: ('ts1051', 'ts1052'), Annotation: si
    Time Stamp: ('ts1053', 'ts1054'), Annotation: mm j 
    Time Stamp: ('ts1055', 'ts1056'), Annotation: eeeeeeee
    Time Stamp: ('ts1057', 'ts1058'), Annotation: gintikuna 
    Time Stamp: ('ts1059', 'ts1060'), Annotation: punda 
    Time Stamp: ('ts1061', 'ts1062'), Annotation: chakilia
    Time Stamp: ('ts1063', 'ts1064'), Annotation: chakilla rirka
    Time Stamp: ('ts1065', 'ts1066'), Annotation: Orienteman
    Time Stamp: ('ts1073', 'ts1074'), Annotation: auto 
    Time Stamp: ('ts1079', 'ts1080'), Annotation: a ja 
    Time Stamp: ('ts1081', 'ts1082'), Annotation: chay 
    Time Stamp: ('ts1083', 'ts1084'), Annotation: Alamakuna nirkangi 
    Time Stamp: ('ts1085', 'ts1086'), Annotation: maypi kausan 
    Time Stamp: ('ts1093', 'ts1094'), Annotation: chay Alamakuna
    Time Stamp: ('ts1095', 'ts1096'), Annotation: Alama 
    Time Stamp: ('ts1097', 'ts1098'), Annotation: Orientepi 
    Time Stamp: ('ts1099', 'ts1100'), Annotation: Alamakuna 
    Time Stamp: ('ts1101', 'ts1102'), Annotation: nachu nircangi 
    Time Stamp: ('ts1103', 'ts1104'), Annotation: non
    Time Stamp: ('ts1105', 'ts1106'), Annotation: no
    Time Stamp: ('ts1107', 'ts1108'), Annotation: me dijo que habia 
    Time Stamp: ('ts1109', 'ts1110'), Annotation: Alamas
    Time Stamp: ('ts1112', 'ts1117'), Annotation: en el Oriente 
    Time Stamp: ('ts1119', 'ts1120'), Annotation: chay maypi kausan Alamakuna
    Time Stamp: ('ts1149', 'ts1151'), Annotation: ishkay llagtakuna
    Time Stamp: ('ts1163', 'ts1164'), Annotation: ishkay llagta 
    Time Stamp: ('ts1167', 'ts1168'), Annotation: aja 
    Time Stamp: ('ts1169', 'ts1170'), Annotation: y
    Time Stamp: ('ts1171', 'ts1172'), Annotation: paykunapash 
    Time Stamp: ('ts1173', 'ts1174'), Annotation: kichuata rrimanchu
    Time Stamp: ('ts1181', 'ts1182'), Annotation: ha ja 
    Time Stamp: ('ts1183', 'ts1185'), Annotation: None
    Time Stamp: ('ts1203', 'ts1205'), Annotation: sachapi 
    Time Stamp: ('ts1211', 'ts1212'), Annotation: chay sachapi 
    Time Stamp: ('ts1214', 'ts1216'), Annotation: achilonaaaaaa
    Time Stamp: ('ts1217', 'ts1218'), Annotation: chay llagtakunapi 
    Time Stamp: ('ts1221', 'ts1222'), Annotation: ari
    Time Stamp: ('ts1230', 'ts1232'), Annotation: ari tio 
    Time Stamp: ('ts1233', 'ts1234'), Annotation: ari
    Time Stamp: ('ts1237', 'ts1239'), Annotation: ari, compadre
    Time Stamp: ('ts1243', 'ts1244'), Annotation: ari
    Time Stamp: ('ts1245', 'ts1246'), Annotation: ari, compadre 
    Time Stamp: ('ts1247', 'ts1249'), Annotation: shinami compadre 
    Time Stamp: ('ts1251', 'ts1252'), Annotation: ari
    Time Stamp: ('ts1253', 'ts1254'), Annotation: shina parlashun 
    Time Stamp: ('ts1256', 'ts1258'), Annotation: shina parlanchi 
    Time Stamp: ('ts1259', 'ts1260'), Annotation: ñuka compadrekunata 
    Time Stamp: ('ts1261', 'ts1262'), Annotation: charini Imbaburapi 
    Time Stamp: ('ts1263', 'ts1264'), Annotation: chay Imbaburaaaaaa
    Time Stamp: ('ts1265', 'ts1267'), Annotation: Otavalo taytakunaguan 
    Time Stamp: ('ts1269', 'ts1270'), Annotation: ari
    Time Stamp: ('ts1271', 'ts1272'), Annotation: paykunaguan rrimangichu 
    Time Stamp: ('ts1311', 'ts1312'), Annotation: (asin)
    Time Stamp: ('ts1313', 'ts1315'), Annotation: (..............)
    Time Stamp: ('ts1316', 'ts1318'), Annotation: taytakuna
    Time Stamp: ('ts1319', 'ts1320'), Annotation: ha ha
    Time Stamp: ('ts1321', 'ts1322'), Annotation: essssssss
    Time Stamp: ('ts1323', 'ts1324'), Annotation: tee
    Time Stamp: ('ts1325', 'ts1326'), Annotation: yyyyyyy
    Time Stamp: ('ts1327', 'ts1328'), Annotation: los
    Time Stamp: ('ts1329', 'ts1330'), Annotation: pay
    Time Stamp: ('ts1331', 'ts1332'), Annotation: el hablar de los 
    Time Stamp: ('ts1333', 'ts1334'), Annotation: Otavalos
    Time Stamp: ('ts1335', 'ts1336'), Annotation: con los de aqui 
    Time Stamp: ('ts1339', 'ts1341'), Annotation: diferente 
    Time Stamp: ('ts1356', 'ts1358'), Annotation: un poquito 
    Time Stamp: ('ts1359', 'ts1360'), Annotation: si
    Time Stamp: ('ts1361', 'ts1362'), Annotation: voy a ver la camara 
    Time Stamp: ('ts1363', 'ts1364'), Annotation: a ver que si todo esta bien 
    Time Stamp: ('ts1365', 'ts1366'), Annotation: ya vengo 
    Time Stamp: ('ts1367', 'ts1368'), Annotation: alku kaninga 
    Time Stamp: ('ts1371', 'ts1372'), Annotation: ashku
    Time Stamp: ('ts1373', 'ts1374'), Annotation: pero aqui 
    Time Stamp: ('ts1375', 'ts1376'), Annotation: me dijo 
    Time Stamp: ('ts1377', 'ts1378'), Annotation: alku
    Time Stamp: ('ts1381', 'ts1382'), Annotation: usted dice
    Time Stamp: ('ts1383', 'ts1385'), Annotation: ashku
    Time Stamp: ('ts1391', 'ts1392'), Annotation: dice
    Time Stamp: ('ts1393', 'ts1394'), Annotation: ashpa
    Time Stamp: ('ts1396', 'ts1397'), Annotation: haaaa
    Time Stamp: ('ts1399', 'ts1400'), Annotation: kushki
    Time Stamp: ('ts1401', 'ts1402'), Annotation: o
    Time Stamp: ('ts1403', 'ts1404'), Annotation: kulki
    Time Stamp: ('ts1405', 'ts1406'), Annotation: usted prefiere
    Time Stamp: ('ts1407', 'ts1408'), Annotation: alku
    Time Stamp: ('ts1409', 'ts1410'), Annotation: oo
    Time Stamp: ('ts1411', 'ts1412'), Annotation: ashku
    Time Stamp: ('ts1413', 'ts1414'), Annotation: le gusta mas como suena 
    Time Stamp: ('ts1415', 'ts1416'), Annotation: ashku
    Time Stamp: ('ts1433', 'ts1434'), Annotation: ashko
    Time Stamp: ('ts1435', 'ts1436'), Annotation: y de la plata 
    Time Stamp: ('ts1437', 'ts1438'), Annotation: se dice tambien 
    Time Stamp: ('ts1439', 'ts1440'), Annotation: kushki
    Time Stamp: ('ts1443', 'ts1444'), Annotation: ooo
    Time Stamp: ('ts1445', 'ts1446'), Annotation: kulki
    Time Stamp: ('ts1463', 'ts1464'), Annotation: kulki
    Time Stamp: ('ts1469', 'ts1470'), Annotation: ha ha
    Time Stamp: ('ts1471', 'ts1472'), Annotation: chay diferencia tian 
    Time Stamp: ('ts1473', 'ts1474'), Annotation: Chimborazokuna 
    Time Stamp: ('ts1475', 'ts1476'), Annotation: Cotopaxikuna
    Time Stamp: ('ts1477', 'ts1478'), Annotation: kushki nin 
    Time Stamp: ('ts1479', 'ts1480'), Annotation: ashku
    Time Stamp: ('ts1481', 'ts1482'), Annotation: ashpa 
    Time Stamp: ('ts1483', 'ts1484'), Annotation: yyyyy
    Time Stamp: ('ts1485', 'ts1486'), Annotation: Otavalokuna
    Time Stamp: ('ts1487', 'ts1488'), Annotation: Cayambekuna
    Time Stamp: ('ts1489', 'ts1490'), Annotation: alku
    Time Stamp: ('ts1491', 'ts1492'), Annotation: alpa
    Time Stamp: ('ts1493', 'ts1494'), Annotation: kulki
    Time Stamp: ('ts1495', 'ts1496'), Annotation: chaykuna
    Time Stamp: ('ts1507', 'ts1508'), Annotation: ya
    Time Stamp: ('ts1523', 'ts1524'), Annotation: es otro 
    Time Stamp: ('ts1525', 'ts1526'), Annotation: si
    Time Stamp: ('ts1527', 'ts1528'), Annotation: ha ya ya
    Time Stamp: ('ts1529', 'ts1531'), Annotation: a eyos van a decir alku
    Time Stamp: ('ts1541', 'ts1542'), Annotation: si
    Time Stamp: ('ts1543', 'ts1544'), Annotation: si, si 
    Time Stamp: ('ts1559', 'ts1560'), Annotation: dicen 
    Time Stamp: ('ts1561', 'ts1562'), Annotation: ashku
    Time Stamp: ('ts1563', 'ts1564'), Annotation: y su mama como decia
    Time Stamp: ('ts1574', 'ts1577'), Annotation: alku
    Time Stamp: ('ts1578', 'ts1580'), Annotation: por aqui 
    Time Stamp: ('ts1581', 'ts1582'), Annotation: se manejaba mas
    Time Stamp: ('ts1589', 'ts1590'), Annotation: siii
    Time Stamp: ('ts1591', 'ts1592'), Annotation: a veces
    Time Stamp: ('ts1593', 'ts1594'), Annotation: asi 
    Time Stamp: ('ts1595', 'ts1596'), Annotation: por que
    Time Stamp: ('ts1597', 'ts1598'), Annotation: empieza a decir 
    Time Stamp: ('ts1599', 'ts1600'), Annotation: ashku
    Time Stamp: ('ts1601', 'ts1602'), Annotation: mas
    Time Stamp: ('ts1603', 'ts1604'), Annotation: Cotopaxi
    Time Stamp: ('ts1605', 'ts1606'), Annotation: por alia
    Time Stamp: ('ts1609', 'ts1610'), Annotation: ha ja
    Time Stamp: ('ts1611', 'ts1612'), Annotation: eeeee
    Time Stamp: ('ts1613', 'ts1614'), Annotation: le voy a preguntar 
    Time Stamp: ('ts1615', 'ts1616'), Annotation: unas palabritas mas 
    Time Stamp: ('ts1617', 'ts1618'), Annotation: y despues tengo otras
    Time Stamp: ('ts1619', 'ts1620'), Annotation: conversa que podemos hacer 
    Time Stamp: ('ts1621', 'ts1623'), Annotation: eeee
    Time Stamp: ('ts1625', 'ts1626'), Annotation: ña
    Time Stamp: ('ts1627', 'ts1628'), Annotation: del arcoiris
    Time Stamp: ('ts1629', 'ts1630'), Annotation: arcoiris
    Time Stamp: ('ts1637', 'ts1638'), Annotation: kuichi 
    Time Stamp: ('ts1640', 'ts1642'), Annotation: ha ja 
    Time Stamp: ('ts1643', 'ts1644'), Annotation: yyyyyyyyyyyyy
    Time Stamp: ('ts1645', 'ts1646'), Annotation: hay 
    Time Stamp: ('ts1647', 'ts1648'), Annotation: laaaaaaaaa
    Time Stamp: ('ts1649', 'ts1650'), Annotation: como sera
    Time Stamp: ('ts1651', 'ts1652'), Annotation: a un tronco 
    Time Stamp: ('ts1653', 'ts1654'), Annotation: de un arbol
    Time Stamp: ('ts1655', 'ts1656'), Annotation: sabe como decir 
    Time Stamp: ('ts1657', 'ts1658'), Annotation: como el tronco 
    Time Stamp: ('ts1659', 'ts1660'), Annotation: un tronco 
    Time Stamp: ('ts1661', 'ts1662'), Annotation: asi 
    Time Stamp: ('ts1663', 'ts1665'), Annotation: de este arbol
    Time Stamp: ('ts1671', 'ts1672'), Annotation: algunos al arbol
    Time Stamp: ('ts1673', 'ts1674'), Annotation: como le dicen al arbol
    Time Stamp: ('ts1675', 'ts1676'), Annotation: en 
    Time Stamp: ('ts1677', 'ts1678'), Annotation: en 
    Time Stamp: ('ts1679', 'ts1680'), Annotation: todo el arbol
    Time Stamp: ('ts1691', 'ts1692'), Annotation: yo conozco dos
    Time Stamp: ('ts1693', 'ts1694'), Annotation: algunos dicen 
    Time Stamp: ('ts1695', 'ts1696'), Annotation: yura
