File,Speaker,Tier_Labels
QUSF2019_03_23S2_pub.txt,mujer 1,"po, Annotations Count: 22, tn, Annotations Count: 17"
QUSF2019_03_23S2_pub.txt,mujer 2,"po, Annotations Count: 157, tn, Annotations Count: 156"
QUSF2019_03_23S2_pub.txt,niño 1,"tn, Annotations Count: 4"
QUSF2019_03_23S2_pub.txt,niño1,"po, Annotations Count: 4"
QUSF2019_03_23S2_pub.txt,simeon 1,"po, Annotations Count: 120, tn, Annotations Count: 118"
QUSF2019_12_17S1_pub.txt,Segundo Cumbal,"po, Annotations Count: 1326"
QUSF2019_12_17S1_pub.txt,Segundo Cumbal,"tn, Annotations Count: 1326"
QUSF2019_12_17S1_pub.txt,Simeon,"po, Annotations Count: 1351, tn, Annotations Count: 1351"
QUSF2019_12_17S1_pub.txt,mujer 1,"po, Annotations Count: 19, tn, Annotations Count: 19"
QUSF2019_12_19S1_pub.txt,Hombre 1,"po, Annotations Count: 1922, tn, Annotations Count: 1922"
QUSF2019_12_19S1_pub.txt,Simeon,"po, Annotations Count: 1045, tn, Annotations Count: 1045"
QUSF2020_01_04S1_pub.txt,C,"po, Annotations Count: 2, tn, Annotations Count: 2"
QUSF2020_01_04S1_pub.txt,hombre 1,"po, Annotations Count: 838, tn, Annotations Count: 838"
QUSF2020_01_04S1_pub.txt,simeon,"po, Annotations Count: 1001, tn, Annotations Count: 1001"
QUSF2020_01_04S2_pub.txt,Simeon,"po, Annotations Count: 2412, tn, Annotations Count: 2408"
QUSF2020_01_04S2_pub.txt,hombre 1,"po, Annotations Count: 1620, tn, Annotations Count: 1619"
QUSF2020_01_04S2_pub.txt,mujer 1,"po, Annotations Count: 12, tn, Annotations Count: 12"
